No,Roll,Semeset,CGPA

1,113796,7,3.15
2,132536,7,3.04
3,141028,7, 66774(T)
4,141252,7,3.16
5,156285,7,3.23
6,156295,7, 66641(T) 66676(T)
7,156303,7, 66671(T)
8,156307,7,3.18
9,156317,7, 66653(T) 66671(T)
10,156356,7, 66675(T)
11,156403,7, 66671(T) 66672(T)
12,156461,7,3.31
13,156522,7,2.63
14,156525,7,2.81
15,156601,7,2.80
16,156605,7,2.67
17,156612,7,2.76
18,156630,7, 66771(T) 66774(T)
19,156632,7,2.61
20,156641,7,2.79
21,156714,7, 66874(T)
22,156718,7, 66874(T)
23,156770,7, 66873(T) 66874(T)
24,156772,7,2.90
25,156788,7, 66873(T)
26,156799,7,2.90
27,156829,7, 66873(T)
28,156844,7, 67041(T) 67072(T)
29,156852,7, 67051(T) 67076(T)
30,156879,7,2.98
31,156933,7, 66441(T) 66445(T)
32,156934,7, 66441(T)
33,157097,7,3.18
34,157108,7,3.16
35,157141,7,2.84
36,157149,7, 69461(T)
37,162822,7,2.87
38,163704,7, 67071(T)
39,163709,7, 67064(T)
40,179121,7, 66771(T) 66774(T)
41,180182,7,3.45
42,180228,7, 66445(T) 66463(T)
43,180235,7,3.04
44,180640,7,3.15
45,182035,7, 66856(T)
46,184619,7,3.96
47,184620,7,3.49
48,184621,7, 66662(T)
49,184622,7,2.68
50,184623,7,3.83
51,184624,7,3.56
52,184626,7,3.95
53,184627,7,2.86
54,184628,7, 66867(T)
55,184629,7,3.56
56,184630,7,3.11
57,184631,7,3.02
58,184641,7,3.12
59,364497,7, 66867(T)
60,365158,7, 66743(T) 66841(T)
61,400040,7,3.32
62,415732,7,3.34
63,415741,7,3.79
64,415841,7,3.23
65,420648,7,3.51
66,422163,7,3.00
67,422164,7,3.39
68,422194,7,2.98
69,423493,7,2.89
70,423503,7,3.48
71,424183,7,3.61
72,424987,7,3.49
73,425701,7, 69054(T)
74,428874,7,2.95
75,433343,7,3.21
76,433554,7,3.80
77,435381,7,3.83
78,435487,7,3.53
79,439826,7,3.08
80,440366,7,3.43
81,441608,7,3.18
82,441613,7,3.32
83,441797,7,3.64
84,443672,7,3.35
85,443761,7, 67076(T)
86,444785,7,3.80
87,444845,7,3.65
88,444944,7,3.55
89,445739,7,3.88
90,446324,7,3.49
91,446757,7,3.36
92,447338,7,3.35
93,449209,7,2.99
94,449247,7,3.23
95,449250,7,3.57
96,449251,7,2.87
97,449252,7,3.75
98,450110,7,3.74
99,450149,7,3.76
100,450153,7,3.83
101,450159,7,3.46
102,450190,7, 66671(T)
103,450198,7,3.41
104,450287,7,3.36
105,450490,7, 66873(T)
106,450634,7,3.24
107,464675,7,3.05
108,465157,7,3.37
109,467961,7, 65851(T)
110,467963,7,3.08
111,467964,7,2.73
112,467965,7,3.33
113,467967,7,3.75
114,467968,7, 66771(T)
115,467970,7,3.15
116,467971,7,3.36
117,467973,7,3.25
118,467975,7,3.35
119,467977,7,3.49
120,467978,7, 65852(T)
121,467979,7,3.64
122,467981,7,3.23
123,467983,7,2.90
124,467985,7,2.88
125,467987,7,3.65
126,467988,7,3.02
127,467989,7, 65851(T)
128,467994,7,2.85
129,467995,7,3.19
130,467997,7,3.54
131,467998,7,3.80
132,468001,7,3.26
133,468003,7,2.96
134,468005,7,3.55
135,468006,7,3.00
136,468008,7,3.67
137,468009,7,3.61
138,468010,7,2.95
139,468012,7,2.88
140,468013,7, 66455(T)
141,468015,7,3.29
142,468016,7,3.00
143,468017,7,3.68
144,468019,7,3.54
145,468021,7,3.51
146,468022,7,3.88
147,468025,7,3.29
148,468026,7,3.41
149,468027,7,3.96
150,468028,7,3.58
151,468029,7,3.41
152,468030,7,3.75
153,468031,7,3.26
154,468033,7,3.70
155,468034,7,3.37
156,468038,7,3.95
157,468039,7,3.78
158,468040,7,3.32
159,468041,7,3.33
160,468042,7,3.20
161,468043,7,3.17
162,468045,7,3.89
163,468047,7,3.47
164,468048,7, 66455(T)
165,468049,7,3.18
166,468050,7,3.38
167,468051,7, 66442(T)
168,468052,7,3.32
169,468053,7,3.67
170,468055,7, 66442(T)
171,468056,7,3.11
172,468060,7, 66442(T)
173,468061,7,3.82
174,468062,7, 65851(T) 66442(T)
175,468063,7,3.32
176,468065,7, 66442(T)
177,468069,7,3.43
178,468070,7,3.78
179,468071,7,3.93
180,468073,7,3.07
181,468074,7,3.75
182,468075,7,3.36
183,468078,7,3.55
184,468080,7,3.87
185,468081,7,3.54
186,468082,7,3.79
187,468089,7,3.26
188,468090,7,2.99
189,468091,7,2.89
190,468092,7,3.28
191,468094,7,3.33
192,468097,7,3.16
193,468098,7,3.81
194,468099,7,3.93
195,468103,7, 66671(T) 69054(T)
196,468104,7,3.69
197,468105,7,3.90
198,468106,7,3.79
199,468110,7,3.46
200,468117,7,3.74
201,468118,7,3.65
202,468119,7,3.65
203,468121,7,3.41
204,468122,7,3.88
205,468123,7,3.85
206,468124,7,3.68
207,468125,7,3.71
208,468126,7,3.73
209,468127,7,3.80
210,468128,7,3.34
211,468129,7,3.80
212,468130,7,3.66
213,468133,7,3.61
214,468134,7,3.54
215,468135,7,3.81
216,468136,7,3.59
217,468138,7,3.83
218,468139,7,3.73
219,468140,7,3.78
220,468141,7,3.59
221,468142,7,3.50
222,468143,7, 66671(T)
223,468144,7,3.64
224,468145,7,3.89
225,468148,7,3.81
226,468151,7,3.54
227,468154,7,3.74
228,468155,7,3.50
229,468157,7, 66653(T)
230,468158,7,3.60
231,468159,7,3.55
232,468160,7,3.44
233,468161,7,3.29
234,468162,7,3.35
235,468165,7,3.44
236,468166,7,3.29
237,468167,7,3.41
238,468168,7,3.29
239,468170,7,3.75
240,468171,7,3.69
241,468172,7,3.45
242,468173,7, 66671(T)
243,468175,7,3.53
244,468176,7,3.39
245,468180,7,3.73
246,468181,7,3.54
247,468183,7,3.59
248,468184,7,3.54
249,468186,7,3.61
250,468187,7,3.63
251,468188,7,3.49
252,468198,7,3.61
253,468201,7,3.55
254,468202,7, 66642(T)
255,468203,7,3.43
256,468204,7,3.85
257,468205,7,3.74
258,468206,7,3.58
259,468207,7,3.44
260,468208,7, 66662(T)
261,468210,7, 66662(T) 66671(T)
262,468214,7,3.75
263,468215,7, 66662(T)
264,468218,7,3.49
265,468219,7,3.56
266,468220,7,3.46
267,468221,7,3.76
268,468222,7, 66662(T)
269,468224,7,3.76
270,468226,7,3.53
271,468228,7,3.59
272,468235,7,3.76
273,468236,7,3.61
274,468238,7,3.43
275,468242,7, 66662(T)
276,468244,7,3.58
277,468245,7, 65852(T)
278,468247,7,3.40
279,468248,7,3.61
280,468249,7,3.51
281,468253,7,3.53
282,468254,7,3.84
283,468255,7, 66671(T)
284,468256,7,3.76
285,468257,7,3.34
286,468258,7,3.43
287,468259,7,3.64
288,468260,7,3.65
289,468264,7,3.39
290,468265,7, 66662(T)
291,468266,7,3.76
292,468267,7,3.46
293,468271,7,3.38
294,468274,7,3.51
295,468275,7,3.65
296,468276,7,3.59
297,468277,7,3.55
298,468278,7,3.61
299,468279,7,3.36
300,468282,7,3.51
301,468284,7,3.69
302,468285,7,3.53
303,468295,7,3.68
304,468296,7,3.35
305,468297,7,3.70
306,468299,7,2.74
307,468300,7,2.93
308,468301,7,3.18
309,468303,7,3.57
310,468304,7,3.88
311,468305,7,3.61
312,468306,7,3.14
313,468308,7,3.40
314,468309,7,3.15
315,468312,7,3.35
316,468313,7, 66773(T)
317,468314,7,3.63
318,468315,7,3.37
319,468317,7,3.48
320,468318,7,3.43
321,468319,7,3.00
322,468320,7,2.89
323,468322,7, 66867(T)
324,468323,7,2.82
325,468324,7,3.12
326,468325,7,2.88
327,468326,7,4.00
328,468328,7,3.35
329,468329,7,4.00
330,468331,7, 66856(T) 66867(T)
331,468332,7,2.77
332,468333,7,3.64
333,468334,7,2.75
334,468336,7,2.77
335,468337,7,3.50
336,468339,7,3.37
337,468343,7,2.65
338,468346,7,3.25
339,468347,7,3.83
340,468348,7, 66856(T)
341,468349,7,3.24
342,468350,7,2.89
343,468352,7,3.37
344,468353,7,3.46
345,468354,7,3.85
346,468355,7,3.02
347,468357,7,2.56
348,468360,7,3.15
349,468362,7,3.88
350,468363,7,3.14
351,468364,7,3.70
352,468365,7,3.79
353,468368,7,3.65
354,468369,7,3.56
355,468370,7,3.65
356,468371,7,3.39
357,468372,7, 66771(T)
358,468373,7,3.26
359,468374,7,3.60
360,468375,7,3.67
361,468376,7,3.42
362,468378,7,2.70
363,468379,7,3.04
364,468382,7,3.12
365,468383,7,3.98
366,468384,7,2.93
367,468385,7,3.32
368,468386,7, 66771(T) 66774(T)
369,468387,7,3.05
370,468388,7,3.10
371,468399,7,3.10
372,468400,7,3.45
373,468401,7,3.06
374,468402,7,3.11
375,468404,7,3.80
376,468405,7,3.44
377,468406,7,4.00
378,468407,7,3.06
379,468408,7,3.57
380,468411,7,3.92
381,468412,7,3.01
382,468413,7, 66867(T)
383,468415,7,2.67
384,468418,7,3.11
385,468419,7,2.73
386,468420,7,3.62
387,468421,7,3.20
388,468422,7, 65851(T) 66762(T)
389,468423,7,2.57
390,468424,7,2.87
391,468425,7,2.75
392,468426,7,3.80
393,468427,7,2.98
394,468428,7,3.19
395,468432,7,3.08
396,468433,7,2.54
397,468434,7,2.89
398,468435,7,2.52
399,468437,7,2.67
400,468438,7,3.04
401,468439,7,2.80
402,468440,7,3.10
403,468441,7,3.46
404,468445,7, 66771(T)
405,468446,7,3.93
406,468447,7,3.71
407,468449,7,3.38
408,468451,7,3.40
409,468454,7,3.36
410,468456,7,3.40
411,468457,7,2.98
412,468458,7,2.95
413,468460,7,3.12
414,468462,7,3.82
415,468463,7,3.08
416,468464,7,2.80
417,468465,7,3.04
418,468466,7,2.98
419,468468,7,3.02
420,468469,7,2.68
421,468470,7,2.67
422,468472,7,2.55
423,468473,7,2.81
424,468474,7,3.71
425,468475,7,3.40
426,468476,7,3.81
427,468477,7, 65852(T) 66863(T)
428,468479,7,3.02
429,468480,7,3.35
430,468481,7,3.17
431,468482,7,3.06
432,468485,7,3.60
433,468486,7,3.95
434,468490,7,3.49
435,468493,7, 66771(T)
436,468495,7,3.32
437,468496,7,3.08
438,468497,7,2.89
439,468511,7,3.13
440,468515,7, 66874(T)
441,468516,7,2.90
442,468517,7,3.58
443,468518,7,3.48
444,468520,7, 66861(T)
445,468521,7,2.90
446,468522,7,3.45
447,468523,7,3.80
448,468525,7,3.08
449,468527,7,3.73
450,468529,7,3.33
451,468530,7, 66874(T)
452,468531,7,3.28
453,468535,7, 66874(T)
454,468536,7,3.23
455,468539,7, 66874(T)
456,468542,7,3.35
457,468543,7,3.45
458,468548,7,3.23
459,468549,7, 66853(T) 66874(T)
460,468550,7,3.35
461,468554,7, 66853(T) 66874(T)
462,468555,7, 66874(T)
463,468556,7,2.83
464,468557,7,3.23
465,468559,7,2.90
466,468561,7,3.03
467,468562,7,3.00
468,468563,7,2.88
469,468566,7, 66873(T)
470,468567,7,3.05
471,468568,7, 66853(T)
472,468569,7,2.88
473,468572,7,3.15
474,468573,7,2.80
475,468577,7,3.28
476,468578,7,3.48
477,468580,7,3.70
478,468582,7,2.93
479,468589,7,2.88
480,468591,7,3.28
481,468596,7,3.38
482,468598,7,3.03
483,468603,7,2.93
484,468608,7,3.58
485,468609,7,2.73
486,468610,7,2.90
487,468612,7,3.20
488,468617,7,3.25
489,468622,7,3.48
490,468625,7,3.28
491,468636,7,3.08
492,468637,7,2.98
493,468638,7,3.13
494,468643,7,3.05
495,468644,7,2.85
496,468645,7,3.28
497,468648,7,3.30
498,468650,7,3.65
499,468652,7,3.33
500,468653,7,3.30
501,468655,7,3.43
502,468657,7,3.10
503,468660,7,3.28
504,468666,7,3.33
505,468667,7,3.78
506,468669,7,3.28
507,468670,7,3.10
508,468673,7,3.20
509,468681,7, 66863(T)
510,468683,7,3.13
511,468685,7,3.13
512,468687,7,3.75
513,468688,7,3.80
514,468690,7,3.65
515,468694,7,3.28
516,468695,7,2.83
517,468696,7,3.88
518,468698,7,3.78
519,468699,7,3.50
520,468700,7,3.40
521,468702,7, 66853(T) 66874(T)
522,468704,7,3.43
523,468707,7,3.05
524,468709,7, 66662(T)
525,468711,7,3.58
526,468713,7,3.40
527,468716,7,3.98
528,468717,7, 66871(T)
529,468718,7,3.83
530,468721,7,3.03
531,468730,7,3.35
532,468734,7,3.68
533,468735,7,3.32
534,468736,7,3.55
535,468738,7,2.56
536,468740,7,3.13
537,468742,7, 67065(T) 67071(T)
538,468743,7,3.38
539,468745,7,3.30
540,468746,7,3.08
541,468747,7,2.54
542,468748,7,3.50
543,468750,7, 67072(T)
544,468753,7,2.70
545,468754,7, 67071(T)
546,468757,7, 67064(T)
547,468758,7,2.64
548,468759,7,3.87
549,468760,7,3.85
550,468761,7, 67072(T)
551,468762,7, 67071(T)
552,468764,7,3.86
553,468765,7,2.83
554,468766,7, 67041(T)
555,468767,7,3.60
556,468768,7,2.68
557,468769,7,3.15
558,468773,7,3.56
559,468774,7,3.88
560,468775,7,3.54
561,468777,7,3.52
562,468778,7,2.44
563,468779,7,2.60
564,468783,7,3.48
565,468785,7,3.65
566,468792,7,3.56
567,468793,7,3.56
568,468794,7,3.14
569,468795,7,3.12
570,468796,7,2.49
571,468797,7,3.17
572,468799,7,3.13
573,468800,7,2.98
574,468801,7,3.86
575,468804,7,2.58
576,468805,7,3.13
577,468806,7,2.82
578,468807,7,3.75
579,468808,7,3.76
580,468809,7,2.87
581,468810,7,2.99
582,468811,7,2.61
583,468813,7, 67041(T)
584,468814,7,3.36
585,468817,7, 67072(T)
586,468821,7,2.89
587,468823,7,3.18
588,468825,7,3.31
589,468828,7, 67071(T) 67072(T)
590,468829,7, 67072(T)
591,468831,7,3.05
592,468832,7,3.14
593,468833,7,2.61
594,468834,7,3.19
595,468836,7,3.67
596,468837,7,3.48
597,468839,7,3.25
598,468843,7,2.70
599,468844,7,3.00
600,468846,7,3.57
601,468848,7, 67072(T)
602,468849,7,2.76
603,468850,7,3.80
604,468851,7,3.81
605,468855,7, 66441(T)
606,468857,7, 66465(T)
607,468861,7,3.68
608,468862,7,3.09
609,468864,7,3.57
610,468865,7,3.17
611,468866,7,3.63
612,468867,7,3.58
613,468868,7,2.74
614,468869,7,2.83
615,468870,7,3.50
616,468871,7,3.68
617,468872,7, 66465(T) 66474(T)
618,468875,7,3.64
619,468883,7,3.84
620,468885,7,3.38
621,468886,7,3.74
622,468889,7,3.01
623,468890,7,2.84
624,468891,7,2.75
625,468892,7,2.83
626,468893,7, 66463(T)
627,468894,7,2.76
628,468899,7,3.32
629,468900,7,3.74
630,468901,7,3.75
631,468904,7,2.72
632,468905,7,3.86
633,468906,7,2.68
634,468908,7,3.16
635,468913,7,3.63
636,468914,7,3.57
637,468916,7,3.83
638,468917,7,3.32
639,468920,7,3.79
640,468927,7,3.12
641,468929,7,2.87
642,468931,7,2.88
643,468932,7,3.63
644,468935,7, 65851(T)
645,468936,7,3.42
646,468937,7, 65851(T) 66463(T)
647,468940,7,3.76
648,468942,7,3.83
649,468943,7,3.26
650,468944,7,3.70
651,468948,7,3.29
652,468949,7,3.08
653,468950,7,2.95
654,468951,7,3.24
655,468952,7,3.51
656,468953,7,3.18
657,468955,7,3.04
