No,Roll,Semeset,CGPA
658,468957,7,3.43
659,468958,7,3.24
660,468961,7,3.38
661,468962,7,3.71
662,468963,7,3.38
663,468966,7,3.56
664,468968,7,3.24
665,468969,7,2.99
666,468971,7,3.41
667,468981,7,3.06
668,468989,7,3.03
669,468997,7,3.00
670,468998,7,3.75
671,469005,7,3.26
672,469008,7,3.33
673,469009,7,3.06
674,469010,7,3.23
675,469012,7,3.15
676,469013,7,3.98
677,469014,7,3.26
678,469015,7,3.78
679,469016,7,3.88
680,469019,7,3.21
681,469023,7, 69475(T)
682,469028,7,3.05
683,469033,7,2.90
684,469038,7, 69461(T) 69464(T)
685,469039,7,3.58
686,469041,7,3.44
687,469044,7,3.04
688,469045,7,3.58
689,469046,7,3.91
690,469049,7, 68451(T) 69475(T)
691,469052,7,3.41
692,469054,7,3.53
693,469055,7,3.00
694,469056,7,3.36
695,469057,7,3.55
696,469058,7, 69475(T)
697,469060,7, 66743(T)
698,469061,7,3.61
699,469062,7, 69461(T)
700,469066,7,3.29
701,469067,7,3.59
702,469069,7,3.24
703,469071,7,3.34
704,469073,7, 69452(T)
705,469076,7,3.23
706,469078,7,3.16
707,469080,7,3.58
708,469081,7,3.29
709,469082,7,3.15
710,469084,7,3.51
711,469085,7,3.43
712,469086,7,3.44
713,469089,7,3.11
714,469090,7, 69461(T) 69462(T)
715,469092,7,3.21
716,469095,7,3.60
717,469096,7,3.44
718,469098,7,3.19
719,469099,7, 69461(T)
720,469100,7,3.23
721,469102,7,3.31
722,469103,7,3.13
723,469105,7,3.25
724,469107,7, 69472(T)
725,469108,7,3.39
726,469109,7, 69461(T)
727,469110,7,3.35
728,469111,7, 69463(T) 69472(T)
729,469113,7,3.24
730,469114,7,3.36
731,469117,7,3.24
732,469118,7,3.48
733,469124,7,3.69
734,469127,7,3.60
735,469128,7,3.33
736,469130,7,3.21
737,469131,7, 69461(T) 69472(T)
738,469133,7,3.26
739,469136,7,3.54
740,469143,7,3.41
741,469145,7,3.59
742,469146,7, 69475(T)
743,469149,7,3.24
744,469153,7,3.48
745,469889,7, 67071(T)
746,469897,7,3.49
747,469917,7,2.73
748,469938,7,2.95
749,470269,7,3.64
750,470292,7, 66662(T) 66671(T)
751,470299,7,2.74
752,470313,7,2.67
753,470334,7,3.00
754,470447,7,3.48
755,470532,7,3.89
756,470711,7,3.10
757,473362,7,2.61
758,473782,7,3.10
759,474531,7,3.06
760,475126,7,3.22
761,475393,7,3.84
762,475450,7,3.53
763,475535,7,3.02
764,475577,7, 66856(T) 66868(T)
765,475744,7,3.05
766,475784,7,3.28
767,475796,7,3.00
768,475811,7,3.35
769,475856,7,3.18
770,475996,7,3.75
771,476548,7,2.58
772,476738,7,3.64
773,476760,7,3.56
774,476861,7,3.30
775,476884,7,3.98
776,477181,7,3.27
777,477182,7,3.48
778,477187,7,3.42
779,477192,7,3.56
780,477193,7, 66771(T)
781,477219,7,2.96
782,477223,7,2.86
783,477270,7,3.53
784,477283,7,3.25
785,477356,7,3.55
786,477425,7,3.53
787,477451,7,3.71
788,477453,7,3.59
789,477520,7,3.45
790,477600,7,3.88
791,477616,7, 66874(T)
792,478048,7,3.39
793,480546,7,3.31
794,480654,7,3.46
795,481007,7,2.92
796,481039,7,3.11
797,481115,7,3.05
798,481671,7,3.92
799,481675,7,3.79
800,483137,7,3.65
801,485732,7,3.54
802,490098,7, 66671(T)
803,491826,7,2.98
804,492595,7,3.34
805,493228,7, 66771(T) 66867(T)
806,493229,7,3.11
807,493231,7,3.46
808,493232,7, 66665(T)
809,493233,7,3.46
810,493239,7,3.66
811,493240,7,3.63
812,493241,7,3.54
813,493245,7,3.21
814,493246,7,3.42
815,493247,7,3.01
816,493248,7, 66863(T)
817,493249,7,2.90
818,493253,7,3.03
819,493257,7,3.05
820,493258,7,3.03
821,493259,7,3.35
822,493261,7,3.45
823,493262,7,3.63
824,493264,7,2.83
825,493265,7,3.12
826,493266,7,2.55
827,493268,7,3.43
828,493269,7,3.20
829,493270,7,2.99
830,493271,7,3.30
831,493272,7,3.38
832,493273,7,3.23
833,493275,7,3.35
834,493276,7,3.10
835,493278,7,3.21
836,493613,7,2.57
837,493642,7,2.93
838,493654,7,3.19
839,494036,7,3.49
840,494283,7,3.80
841,930061,7,2.96
842,930220,7, 66874(T)
843,930318,7, 66874(T)
844,930506,7, 69472(T)
845,935828,7,3.05
846,935905,7, 66871(T)
