No,Roll,Semeset,CGPA
245,571083,7, 65851(T) 66641(T)
246,571084,7,3.38
247,571085,7, 65851(T)
248,571087,7, 66653(T)
249,571088,7,3.83
250,571090,7,3.61
251,571091,7, 65851(T)
252,571092,7,3.43
253,571093,7,3.38
254,571094,7,3.23
255,571095,7,3.75
256,571096,7,3.61
257,571097,7,3.91
258,571098,7, 66653(T)
259,571099,7,3.50
260,571103,7,3.28
261,571104,7, 68546(T)
262,571105,7,3.64
263,571106,7,3.43
264,571108,7,3.64
265,571110,7,3.65
266,571112,7,3.69
267,571113,7, 66651(T)
268,571114,7,3.71
269,571117,7, 68546(T)
270,571118,7, 68546(T)
271,571119,7,3.48
272,571121,7, 68546(T)
273,571122,7, 66641(T) 68546(T)
274,571123,7, 68546(T)
275,571126,7,3.59
276,571127,7,3.68
277,571129,7, 68546(T)
278,571131,7,3.64
279,571132,7,3.66
280,571133,7,3.55
281,571134,7, 66651(T) 68546(T)
282,571138,7,3.03
283,571139,7,3.43
284,571141,7,3.16
285,571142,7,2.82
286,571143,7,3.12
287,571144,7,3.64
288,571146,7,3.20
289,571147,7,2.96
290,571148,7,3.39
291,571149,7,2.79
292,571150,7,3.21
293,571151,7, 66856(T)
294,571152,7,2.89
295,571153,7,2.80
296,571154,7,3.25
297,571159,7,2.78
298,571160,7,2.64
299,571161,7, 65851(T) 66845(T)
300,571162,7,3.74
301,571164,7,3.17
302,571168,7, 66751(T)
303,571169,7,2.42
304,571170,7,2.76
305,571172,7,2.80
306,571184,7,3.12
307,571185,7,3.30
308,571186,7, 66845(T)
309,571189,7,3.79
310,571190,7,3.05
311,571191,7,3.24
312,571192,7,3.70
313,571193,7,3.74
314,571194,7,3.57
315,571195,7,3.20
316,571197,7, 66741(T)
317,571199,7,2.57
318,571200,7,3.25
319,571201,7,3.63
320,571202,7,3.22
321,571204,7,2.79
322,571206,7,3.21
323,571207,7, 66751(T)
324,571208,7,3.67
325,571210,7, 66856(T)
326,571211,7,2.84
327,571212,7, 66751(T)
328,571214,7, 66741(T)
329,571215,7,3.37
330,571217,7,3.41
331,571218,7, 67045(T)
332,571219,7,3.86
333,571220,7,3.91
334,571221,7,2.75
335,571222,7,3.78
336,571225,7, 66751(T)
337,571226,7, 66751(T)
338,571228,7, 66751(T)
339,571229,7, 66751(T)
340,571230,7,3.46
341,571232,7, 66751(T)
342,571233,7, 66751(T)
343,571237,7,3.53
344,571239,7,2.66
345,571240,7,3.20
346,571244,7,3.95
347,571245,7,3.05
348,571246,7,3.33
349,571247,7,3.25
350,571248,7,3.71
351,571250,7,3.36
352,571251,7,3.63
353,571252,7,3.58
354,571254,7,3.82
355,571255,7, 66631(T) 66741(T)
356,571262,7,3.89
357,571264,7,3.79
358,571265,7,3.71
359,571266,7,3.92
360,571267,7,3.89
361,571268,7,3.57
362,571269,7,3.46
363,571270,7, 66631(T)
364,571271,7, 66631(T)
365,571272,7,3.57
366,571274,7,3.83
367,571275,7,3.64
368,571276,7,2.93
369,571277,7,4.00
370,571278,7,2.64
371,571279,7,3.30
372,571280,7,3.38
373,571283,7,3.78
374,571284,7,2.80
375,571286,7,2.74
376,571290,7, 66631(T)
377,571293,7, 66631(T) 66741(T)
378,571298,7, 66751(T)
379,571302,7, 66741(T)
380,571303,7,3.18
381,571304,7,2.86
382,571305,7,2.74
383,571306,7,3.04
384,571309,7,3.57
385,571310,7,2.89
386,571311,7, 66845(T)
387,571312,7,3.95
388,571315,7,3.22
389,571316,7,2.78
390,571317,7,3.05
391,571318,7, 66856(T)
392,571321,7,3.36
393,571322,7,4.00
394,571324,7,2.91
395,571329,7,2.93
396,571330,7, 66631(T) 66741(T)
397,571331,7,3.59
398,571332,7, 66752(T)
399,571334,7,3.36
400,571336,7,3.83
401,571338,7,2.50
402,571340,7,3.25
403,571341,7,2.63
404,571342,7,2.93
405,571344,7, 66752(T) 66845(T)
406,571345,7, 66752(T) 66845(T)
407,571346,7,3.14
408,571348,7, 66631(T)
409,571349,7,2.78
410,571350,7,2.59
411,571352,7,3.04
412,571353,7,3.16
413,571354,7,2.76
414,571355,7,2.80
415,571359,7,2.88
416,571360,7,2.76
417,571363,7,3.82
418,571365,7,3.59
419,571366,7,4.00
420,571367,7,3.76
421,571368,7,2.76
422,571369,7,3.33
423,571370,7, 66856(T)
424,571371,7,3.37
425,571373,7,3.38
426,571374,7,3.39
427,571375,7,3.21
428,571377,7,3.45
429,571378,7, 65851(T)
430,571379,7,3.51
431,571380,7,3.01
432,571382,7,2.62
433,571383,7,3.03
434,571385,7, 66631(T) 66751(T)
435,571387,7,3.04
436,571389,7,3.67
437,571391,7, 66751(T)
438,571392,7,3.45
439,571393,7,2.83
440,571394,7,3.41
441,571396,7,3.68
442,571397,7,3.29
443,571399,7,3.75
444,571400,7,3.41
445,571401,7,3.55
446,571404,7, 66845(T)
447,571405,7,2.51
448,571406,7,2.82
449,571407,7,2.67
450,571409,7, 65851(T) 66631(T)
451,571410,7, 66845(T)
452,571411,7,3.16
453,571413,7, 66856(T)
454,571414,7,3.28
455,571415,7,3.17
456,571416,7,3.70
457,571417,7,2.96
458,571418,7,3.04
459,571420,7,2.91
460,571421,7,3.41
461,571422,7,3.28
462,571423,7,3.20
