No,Roll,Semeset,CGPA

1,188824,7,3.08
2,188826,7, 25931(T)
3,188827,7, 26432(T)
4,188828,7,3.07
5,188830,7, 25811(T) 27012(T)
6,188831,7,3.43
7,189661,7,3.17
8,189662,7,3.36
9,189679,7, 26431(T) 26432(T)
10,189680,7, 26431(T) 26432(T)
11,189681,7,3.04
12,189682,7,3.07
13,571504,7, 25922(T) 26832(T)
14,571851,7,2.98
15,571994,7,2.89
16,620851,7,3.26
17,621205,7,3.10
18,633891,7,3.45
19,634670,7,3.50
20,635241,7,3.25
21,636976,7,3.28
22,639027,7,3.26
23,641096,7, 25931(T)
24,643438,7, 27031(T)
25,644549,7,3.75
26,644753,7,3.79
27,644947,7,3.58
28,645173,7,3.50
29,645174,7,3.12
30,645175,7, 26821(T)
31,645580,7,3.02
32,650358,7,3.26
33,650409,7, 25913(T)
34,657480,7, 26731(T) 26833(T)
35,668198,7, 25931(T) 26432(T)
36,668199,7,3.83
37,668200,7,2.88
38,668201,7, 25931(T) 26432(T)
39,668202,7, 26431(T)
40,668203,7,3.40
41,668205,7,2.79
42,668206,7, 26432(T)
43,668209,7,2.77
44,668210,7, 26431(T) 26432(T)
45,668211,7,3.48
46,668212,7, 26421(T) 26432(T)
47,668213,7,3.07
48,668215,7, 25931(T) 26431(T)
49,668216,7,3.57
50,668219,7,2.89
51,668220,7,2.86
52,668222,7,3.51
53,668223,7,3.39
54,668224,7, 26431(T)
55,668225,7, 25931(T)
56,668226,7,3.24
57,668227,7,3.86
58,668228,7,4.00
59,668229,7,3.44
60,668230,7, 25912(T) 25931(T)
61,668231,7,2.74
62,668232,7,3.67
63,668233,7,3.36
64,668234,7,3.08
65,668235,7,3.93
66,668237,7,3.04
67,668238,7,3.54
68,668239,7,3.74
69,668240,7,3.11
70,668241,7,3.52
71,668243,7,3.18
72,668244,7,3.92
73,668245,7, 25921(T) 26431(T)
74,668246,7,3.30
75,668249,7,2.64
76,668251,7,3.00
77,668252,7,3.92
78,668253,7,3.36
79,668254,7,3.06
80,668256,7,2.61
81,668257,7,3.67
82,668259,7,2.82
83,668261,7,3.94
84,668262,7,3.30
85,668263,7,3.96
86,668265,7, 25931(T)
87,668266,7,3.68
88,668267,7,3.76
89,668268,7, 25931(T)
90,668269,7,3.23
91,668270,7,3.57
92,668271,7, 25931(T)
93,668272,7,3.89
94,668273,7, 25931(T)
95,668274,7,2.85
96,668276,7,3.15
97,668278,7,2.92
98,668279,7,3.06
99,668281,7, 25922(T)
100,668283,7,3.56
